Player,Age,Squad,Height,Weight,Foot,Value
Jaílson CB CDM,27,"Celta de Vigo
2024 ~ 2025","187cm / 6'2""",74kg / 163lbs,Right,€1.5M
Luizão CB,21,"West Ham United
2023 ~ 2026","187cm / 6'2""",80kg / 176lbs,Left,€2.5M
D. Potts CB LB,29,"Luton Town
2015 ~ 2024","178cm / 5'10""",70kg / 154lbs,Left,€1M
A. Mendy RB CB,19,"Nice
2022 ~ 2025","187cm / 6'2""",75kg / 165lbs,Right,€2.5M
J. Makengo LB CB,21,"SC Freiburg
2023 ~ 2027","190cm / 6'3""",76kg / 168lbs,Left,€2.6M
T. Oermann CB RB,19,"VfL Bochum 1848
2022 ~ 2026","187cm / 6'2""",76kg / 168lbs,Right,€2.4M
T. Isherwood CB,25,"Darmstadt 98
2021 ~ 2024","195cm / 6'5""",87kg / 192lbs,Left,€1.6M
C. Riedel CB,19,"Darmstadt 98
2021 ~ 2026","186cm / 6'1""",73kg / 161lbs,Right,€2.7M
E. Bitshiabu CB,18,"RB Leipzig
2023 ~ 2028","196cm / 6'5""",96kg / 212lbs,Left,€2.6M
D. Huijsen CB,18,"Roma
Jun 30, 2024 On loan","195cm / 6'5""",84kg / 185lbs,Right,€2.9M
João Ferreira RWB CB RB,22,"Udinese
Jun 30, 2024 On loan","185cm / 6'1""",79kg / 174lbs,Right,€2.6M
A. Obert CB LB,20,"Cagliari
2021 ~ 2027","186cm / 6'1""",80kg / 176lbs,Left,€2.5M
Martín CB,23,"Rayo Vallecano
2017 ~ 2024","190cm / 6'3""",78kg / 172lbs,Right,€2.5M
A. Radovanović CB,29,"Almería
2024 ~ 2025","189cm / 6'2""",83kg / 183lbs,Left,€1M
G. Doué RB CB,20,"Rennes
2022 ~ 2025","187cm / 6'2""",84kg / 185lbs,Right,€2.3M
K. Fila RB CB,25,"Strasbourg
2021 ~ 2025","183cm / 6'0""",76kg / 168lbs,Right,€1.3M
C. Mawissa CB RB,18,"Toulouse
2022 ~ 2026","185cm / 6'1""",77kg / 170lbs,Left,€2.4M
C. Konaté RWB RM CB,19,"Clermont
2022 ~ 2026","173cm / 5'8""",67kg / 148lbs,Right,€2.1M
A. Papadopoulos CB CDM,23,"Borussia Dortmund
2021 ~ 2024","185cm / 6'1""",83kg / 183lbs,Right,€1.4M
K. Schmidt CB,21,"SC Freiburg
2023 ~ 2027","187cm / 6'2""",81kg / 179lbs,Left,€2.1M
J. Malatini RWB CB,22,"Werder Bremen
2024 ~ 2028","191cm / 6'3""",84kg / 185lbs,Right,€2M
N. Loosli CB,26,"VfL Bochum 1848
2023 ~ 2026","186cm / 6'1""",84kg / 185lbs,Right,€1.2M
J. Cabal LB CB,22,"Hellas Verona
2022 ~ 2027","186cm / 6'1""",80kg / 176lbs,Left,€2.2M
L. Tonelli CB,33,"Empoli
2021 ~ 2024","183cm / 6'0""",75kg / 165lbs,Right,€475K
I. Kostis CB LB,20,"Atlético Madrid
2022 ~ 2027","192cm / 6'4""",83kg / 183lbs,Left,€2.3M
Yarek CB LB,18,"Valencia
2023 ~ 2025","190cm / 6'3""",75kg / 165lbs,Left,€2.4M
Herzog CB,19,"Las Palmas
2023 ~ 2025","186cm / 6'1""",75kg / 165lbs,Right,€2.3M
Kike Salas CB LB,21,"Sevilla
2021 ~ 2026","186cm / 6'1""",80kg / 176lbs,Left,€2.4M
M. Rosenfelder CB,20,"SC Freiburg
2023 ~ 2025","186cm / 6'1""",76kg / 168lbs,Right,€1.8M
T. Keller CB CDM,23,"Heidenheim
2022 ~ 2025","186cm / 6'1""",80kg / 176lbs,Right,€1.1M
Mario Gila CB,22,"Lazio
2022 ~ 2027","185cm / 6'1""",80kg / 176lbs,Right,€1.2M
K. Dermaku CB,31,"Lecce
2021 ~ 2024","194cm / 6'4""",89kg / 196lbs,Left,€575K
Urko González CB CDM,22,"Real Sociedad
2020 ~ 2028","189cm / 6'2""",83kg / 183lbs,Right,€1.8M
R. Williams CB,22,"Liverpool
2019 ~ 2026","195cm / 6'5""",76kg / 168lbs,Right,€1.5M
N. Zézé CB,18,"Nantes
2022 ~ 2026","190cm / 6'3""",76kg / 168lbs,Left,€1.7M
N. Mbamba CDM CB,18,"Bayer 04 Leverkusen
2023 ~ 2028","187cm / 6'2""",75kg / 165lbs,Right,€1.7M
M. Bogarde CB RWB CDM,21,"TSG Hoffenheim
2019 ~ 2024","182cm / 6'0""",72kg / 159lbs,Right,€1.5M
G. Cittadini CB,21,"Genoa
Jun 30, 2024 On loan","180cm / 5'11""",75kg / 165lbs,Right,€1.7M
A. Matturro CB,18,"Genoa
2023 ~ 2026","189cm / 6'2""",77kg / 170lbs,Left,€1.7M
I. Monterisi CB RB,21,"Frosinone
2023 ~ 2027","190cm / 6'3""",82kg / 181lbs,Right,€1.5M
D. Bettella CB,23,"Monza
2022 ~ 2027","185cm / 6'1""",75kg / 165lbs,Right,€1.5M
J. Aramburu RB RWB CB,20,"Real Sociedad
2023 ~ 2026","176cm / 5'9""",71kg / 157lbs,Right,€1.6M
Guillem Molina RB CB LB,23,"Osasuna
2023 ~ 2024","183cm / 6'0""",71kg / 157lbs,Right,€1.5M
Jorge Moreno CB,21,"Osasuna
2023 ~ 2025","184cm / 6'0""",80kg / 176lbs,Right,€1.5M
Herrando CB,22,"Osasuna
2018 ~ 2027","192cm / 6'4""",76kg / 168lbs,Left,€1.5M
L. Bogarde CDM CM CB,19,"Aston Villa
2021 ~ 2026","183cm / 6'0""",70kg / 154lbs,Right,€1.3M
F. Chiarodia CB,18,"Borussia Mönchengladbach
2023 ~ 2027","186cm / 6'1""",78kg / 172lbs,Left,€1.4M
Héctor Fort RB CB,16,"FC Barcelona
2022 ~ 2025","185cm / 6'1""",78kg / 172lbs,Right,€1.4M
Egiluz CB,21,"Athletic Club
2023 ~ 2024","186cm / 6'1""",81kg / 179lbs,Right,€1.2M
Parada LB CB,21,"Deportivo Alavés
2022 ~ 2024","187cm / 6'2""",76kg / 168lbs,Left,€1.3M
Adri Miranda CB LB,20,"Cádiz
2023 ~ 2026","183cm / 6'0""",72kg / 159lbs,Left,€1.3M
Miki Bosch CB,22,"Granada
2022 ~ 2024","190cm / 6'3""",78kg / 172lbs,Right,€1.2M
A. Murphy CB LB,19,"Newcastle United
2022 ~ 2024","188cm / 6'2""",76kg / 168lbs,Left,€1.2M
Rafael Fernandes CB,21,"LOSC Lille
2024 ~ 2028","191cm / 6'3""",83kg / 183lbs,Right,€1M
L. Mouyokolo CB,22,"Lorient
2018 ~ 2026","194cm / 6'4""",85kg / 187lbs,Right,€1M
N. Adjei CB RB,20,"Lorient
Jun 30, 2024 On loan","186cm / 6'1""",77kg / 170lbs,Right,€1.1M
N. Collins CB,19,"Eintracht Frankfurt
2023 ~ 2028","191cm / 6'3""",84kg / 185lbs,Right,€1.2M
D. Bartesaghi LB CB,17,"Milan
2023 ~ 2026","193cm / 6'4""",84kg / 185lbs,Left,€1M
M. Faye CB LB,18,"FC Barcelona
2023 ~ 2027","186cm / 6'1""",81kg / 179lbs,Left,€1.1M
Jacobo CB,18,"Real Madrid
2023 ~ 2028","190cm / 6'3""",78kg / 172lbs,Right,€1M
Marvel CB,20,"Real Madrid
2022 ~ 2025","184cm / 6'0""",81kg / 179lbs,Left,€1.1M
